Manufacturer,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Intel,Core i9-11900,Rocket Lake,8 / 16,2.5 to 5.2 GHz,Socket 1200,14 nm,16MB,65 W,"Mar 16th, 2021"
Intel,Core i9-11900F,Rocket Lake,8 / 16,2.5 to 5.2 GHz,Socket 1200,14 nm,16MB,65 W,"Mar 16th, 2021"
Intel,Core i9-11900K,Rocket Lake,8 / 16,3.5 to 5.3 GHz,Socket 1200,14 nm,16MB,125 W,"Mar 16th, 2021"
Intel,Core i9-11900KF,Rocket Lake,8 / 16,3.5 to 5.3 GHz,Socket 1200,14 nm,16MB,125 W,"Mar 16th, 2021"
Intel,Core i9-11900T,Rocket Lake,8 / 16,1.5 to 4.9 GHz,Socket 1200,14 nm,16MB,35 W,"Mar 16th, 2021"
Intel,Core i9-12900K,Alder Lake,16 / 24,3.2 to 5.2 GHz,Socket 1700,10 nm,30MB,125 W,"Nov 4th, 2021"
Intel,Core i9-12900KF,Alder Lake,16 / 24,3.2 to 5.2 GHz,Socket 1700,10 nm,30MB,125 W,"Nov 4th, 2021"
Intel,Pentium Gold G6605,Comet Lake-R,2 / 4,4.3 GHz,Socket 1200,14 nm,4MB,65 W,"Mar 16th, 2021"
Intel,Xeon E-2314,Rocket Lake-E,4,2.8 to 4.5 GHz,Socket 1200,14 nm,8MB,65 W,"Sep 8th, 2021"
Intel,Xeon E-2324G,Rocket Lake-E,4,3.1 to 4.6 GHz,Socket 1200,14 nm,8MB,65 W,"Sep 8th, 2021"
Intel,Xeon E-2334,Rocket Lake-E,4 / 8,3.4 to 4.8 GHz,Socket 1200,14 nm,8MB,65 W,"Sep 8th, 2021"
Intel,Xeon E-2336,Rocket Lake-E,6 / 12,2.9 to 4.8 GHz,Socket 1200,14 nm,12MB,65 W,"Sep 8th, 2021"
Intel,Xeon E-2356G,Rocket Lake-E,6 / 12,3.2 to 5 GHz,Socket 1200,14 nm,12MB,80 W,"Sep 8th, 2021"
Intel,Xeon E-2374G,Rocket Lake-E,4 / 8,3.7 to 5 GHz,Socket 1200,14 nm,8MB,80 W,"Sep 8th, 2021"
Intel,Xeon E-2378,Rocket Lake-E,8 / 16,2.6 to 4.8 GHz,Socket 1200,14 nm,16MB,65 W,"Sep 8th, 2021"
Intel,Xeon E-2378G,Rocket Lake-E,8 / 16,2.8 to 5.1 GHz,Socket 1200,14 nm,16MB,80 W,"Sep 8th, 2021"
Intel,Xeon E-2386G,Rocket Lake-E,6 / 12,3.5 to 5.1 GHz,Socket 1200,14 nm,12MB,95 W,"Sep 8th, 2021"
Intel,Xeon E-2388G,Rocket Lake-E,8 / 16,3.2 to 5.1 GHz,Socket 1200,14 nm,16MB,95 W,"Sep 8th, 2021"
Intel,Xeon Gold 5315Y,Ice Lake-SP,8 / 16,3.2 to 3.6 GHz,Socket 4189,10 nm,12MB,140 W,"Apr 6th, 2021"
Intel,Xeon Gold 5317,Ice Lake-SP,12 / 24,3 to 3.6 GHz,Socket 4189,10 nm,18MB,150 W,"Apr 6th, 2021"
Intel,Xeon Gold 5318H,Cooper Lake-SP,18 / 36,2.5 to 3.8 GHz,Socket 4189,14 nm,24.75MB,150 W,"Apr 6th, 2021"
Intel,Xeon Gold 5318N,Ice Lake-SP,24 / 48,2.1 to 3.4 GHz,Socket 4189,10 nm,36MB,150 W,"Apr 6th, 2021"
Intel,Xeon Gold 5318S,Ice Lake-SP,24 / 48,2.1 to 3.4 GHz,Socket 4189,10 nm,36MB,165 W,"Apr 6th, 2021"
Intel,Xeon Gold 5318Y,Ice Lake-SP,24 / 48,2.1 to 3.4 GHz,Socket 4189,10 nm,36MB,165 W,"Apr 6th, 2021"
Intel,Xeon Gold 5320,Ice Lake-SP,26 / 52,2.2 to 3.4 GHz,Socket 4189,10 nm,39MB,185 W,"Apr 6th, 2021"
Intel,Xeon Gold 5320H,Cooper Lake-SP,20 / 40,2.4 to 4.2 GHz,Socket 4189,14 nm,27.5MB,150 W,"Apr 6th, 2021"
Intel,Xeon Gold 5320T,Ice Lake-SP,20 / 40,2.3 to 3.5 GHz,Socket 4189,10 nm,30MB,150 W,"Apr 6th, 2021"
Intel,Xeon Gold 6312U,Ice Lake-SP,24 / 48,2.4 to 3.6 GHz,Socket 4189,10 nm,36MB,185 W,"Apr 6th, 2021"
Intel,Xeon Gold 6314U,Ice Lake-SP,32 / 64,2.3 to 3.4 GHz,Socket 4189,10 nm,48MB,205 W,"Apr 6th, 2021"
Intel,Xeon Gold 6326,Ice Lake-SP,16 / 32,2.9 to 3.5 GHz,Socket 4189,10 nm,24MB,185 W,"Apr 6th, 2021"
Intel,Xeon Gold 6328H,Cooper Lake-SP,16 / 32,2.8 to 4.3 GHz,Socket 4189,14 nm,22MB,165 W,"Apr 6th, 2021"
Intel,Xeon Gold 6328HL,Cooper Lake-SP,16 / 32,2.8 to 4.3 GHz,Socket 4189,14 nm,22MB,165 W,"Apr 6th, 2021"
Intel,Xeon Gold 6330,Ice Lake-SP,28 / 56,2 to 3.1 GHz,Socket 4189,10 nm,42MB,205 W,"Apr 6th, 2021"
Intel,Xeon Gold 6330H,Cooper Lake-SP,24 / 48,2 to 3.7 GHz,Socket 4189,14 nm,33MB,150 W,"Apr 6th, 2021"
Intel,Xeon Gold 6334,Ice Lake-SP,8 / 16,3.6 to 3.7 GHz,Socket 4189,10 nm,18MB,165 W,"Apr 6th, 2021"
Intel,Xeon Gold 6336Y,Ice Lake-SP,24 / 48,2.4 to 3.6 GHz,Socket 4189,10 nm,36MB,185 W,"Apr 6th, 2021"
Intel,Xeon Gold 6338N,Ice Lake-SP,32 / 64,2.2 to 3.5 GHz,Socket 4189,10 nm,48MB,185 W,"Apr 6th, 2021"
Intel,Xeon Gold 6338T,Ice Lake-SP,24 / 48,2.1 to 3.4 GHz,Socket 4189,10 nm,36MB,165 W,"Apr 6th, 2021"
Intel,Xeon Gold 6342,Ice Lake-SP,24 / 48,2.8 to 3.5 GHz,Socket 4189,10 nm,36MB,230 W,"Apr 6th, 2021"
Intel,Xeon Gold 6346,Ice Lake-SP,16 / 32,3.1 to 3.6 GHz,Socket 4189,10 nm,36MB,205 W,"Apr 6th, 2021"
Intel,Xeon Gold 6348,Ice Lake-SP,28 / 56,2.6 to 3.5 GHz,Socket 4189,10 nm,42MB,235 W,"Apr 6th, 2021"
Intel,Xeon Gold 6348H,Cooper Lake-SP,24 / 48,2.3 to 4.2 GHz,Socket 4189,14 nm,33MB,165 W,"Apr 6th, 2021"
Intel,Xeon Gold 6354,Ice Lake-SP,18 / 36,3 to 3.6 GHz,Socket 4189,10 nm,39MB,205 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8351N,Ice Lake-SP,36 / 72,2.4 to 3.5 GHz,Socket 4189,10 nm,54MB,225 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8352M,Ice Lake-SP,32 / 64,2.3 to 3.5 GHz,Socket 4189,10 nm,48MB,185 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8352S,Ice Lake-SP,32 / 64,2.2 to 3.4 GHz,Socket 4189,10 nm,48MB,205 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8352V,Ice Lake-SP,36 / 72,2.5 to 3.5 GHz,Socket 4189,10 nm,54MB,195 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8353H,Cooper Lake-SP,18 / 36,2.5 to 3.8 GHz,Socket 4189,14 nm,24.75MB,150 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8354H,Cooper Lake-SP,18 / 36,3.1 to 4.3 GHz,Socket 4189,14 nm,24.75MB,205 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8356H,Cooper Lake-SP,8 / 16,3.9 to 4.4 GHz,Socket 4189,14 nm,35.75MB,190 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8358,Ice Lake-SP,32 / 64,2.6 to 3.4 GHz,Socket 4189,10 nm,48MB,250 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8358P,Ice Lake-SP,32 / 64,2.6 to 3.4 GHz,Socket 4189,10 nm,48MB,240 W,"Apr 6th, 2021"
Intel,Xeon Platinum 8360H,Cooper Lake-SP,24 / 48,3 to 4.2 GHz,Socket 4189,14 nm,33MB,225 W,"Apr 6th, 2021"
